Player,Team,Position,Age,PPG,APG,RPG
LeBron James,Los Angeles Lakers,SF,39,25.7,7.9,7.4
Stephen Curry,Golden State Warriors,PG,36,27.3,6.4,4.3
Kevin Durant,Phoenix Suns,SF,35,26.9,5.0,6.7
Nikola Jokic,Denver Nuggets,C,29,26.4,9.0,12.4
Luka Doncic,Dallas Mavericks,PG,25,33.9,9.8,9.2
Jayson Tatum,Boston Celtics,SF,26,27.2,4.8,8.1
Giannis Antetokounmpo,Milwaukee Bucks,PF,29,30.1,6.5,11.5
Joel Embiid,Philadelphia 76ers,C,30,33.1,5.7,10.2
Anthony Edwards,Minnesota Timberwolves,SG,22,25.9,4.4,5.4
Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,26,31.4,6.2,5.5
